1900	69.2	31.3	69.3	168.6	127.3	89.4	122.1	66.3	173.9	113.6	131.9	25.1	1188.0
1901	74.4	30.2	131.2	132.6	149.3	172.1	229.0	53.8	130.8	311.1	63.6	110.8	1588.9
1902	33.4	20.9	92.4	140.3	222.7	204.7	159.6	310.3	244.2	104.7	105.1	115.4	1753.7
1903	122.4	80.0	165.9	155.5	159.0	145.4	286.8	22.6	284.4	294.7	130.0	65.5	1912.2
1904	7.0	67.7	101.5	97.3	142.4	91.6	239.4	74.7	200.5	248.8	14.5	96.4	1381.8
1905	59.8	47.6	97.9	152.2	131.0	237.4	94.2	202.5	83.5	70.5	66.8	86.7	1330.1
1906	62.5	166.7	61.5	43.5	80.6	165.3	154.9	253.5	226.4	220.5	61.7	22.4	1519.5
1907	47.1	4.4	144.1	143.8	168.1	169.8	102.9	219.0	265.9	226.2	127.6	21.5	1640.4
1908	28.3	35.6	137.0	185.3	147.8	219.0	152.8	223.6	370.6	116.5	14.8	60.8	1692.1
1909	103.9	32.0	196.6	140.3	178.1	172.6	118.3	92.2	346.5	57.8	72.6	0.8	1511.7
1910	119.8	45.1	70.2	79.3	176.2	112.6	147.2	419.9	201.4	307.9	46.9	24.2	1750.7
1911	97.5	30.7	117.6	130.1	101.2	274.5	304.6	400.5	173.5	150.8	53.7	32.2	1866.9
1912	49.9	120.1	115.6	142.0	106.1	264.1	152.7	67.9	400.7	107.5	106.1	101.6	1734.3
1913	61.1	82.5	45.1	68.0	187.0	149.4	88.3	252.2	262.3	244.9	106.8	49.4	1597.0
1914	23.5	64.9	197.0	178.2	193.7	124.7	26.0	278.0	355.4	151.8	54.0	47.2	1694.4
1915	94.0	141.2	106.3	211.1	153.8	241.6	19.5	326.1	213.0	317.4	84.8	17.9	1926.7
1916	27.5	139.0	61.1	113.8	135.2	141.1	319.2	202.8	170.6	301.5	267.9	51.1	1930.8
1917	33.0	15.5	170.2	80.5	72.3	177.4	17.0	45.3	255.4	355.2	81.7	4.4	1307.9
1918	10.0	64.9	162.9	107.9	123.2	148.8	82.2	78.1	202.5	134.8	141.6	79.6	1336.5
1919	85.1	142.4	93.0	53.5	90.8	118.6	177.5	95.5	248.4	162.8	178.4	88.2	1534.2
1920	62.6	111.4	128.3	194.5	259.6	218.9	117.9	325.1	369.8	240.9	65.9	98.8	2193.7
1921	56.5	86.2	99.3	136.8	269.4	206.5	209.0	154.7	448.8	306.4	4.6	47.0	2025.2
1922	60.5	226.9	104.7	180.1	96.7	139.9	115.3	199.3	45.1	168.9	63.6	10.2	1411.2
1923	64.2	119.8	107.5	116.1	192.4	280.9	168.2	42.2	259.4	164.0	138.1	44.6	1697.4
1924	8.7	68.4	64.2	170.8	168.3	114.2	12.9	185.9	363.2	260.8	28.4	29.5	1475.3
1925	43.1	53.5	33.0	131.6	109.0	105.3	128.5	360.5	359.4	239.6	100.7	48.3	1712.5
1926	7.3	50.0	70.6	101.4	235.5	134.4	60.8	84.2	182.4	95.2	41.3	113.7	1176.8
1927	20.3	42.7	207.0	112.3	194.8	120.8	116.7	107.3	345.0	80.1	71.5	26.4	1444.9
1928	71.7	91.0	158.2	169.8	117.9	320.8	127.4	247.3	83.7	265.9	64.1	32.6	1750.4
1929	1.7	2.9	50.1	134.8	255.3	115.7	58.4	63.6	544.1	323.1	203.7	155.7	1909.1
1930	41.4	108.3	162.1	149.0	105.2	123.2	139.3	51.5	191.9	255.6	77.7	71.0	1476.2
1931	73.0	85.3	83.0	69.7	244.2	114.9	193.6	49.0	228.0	249.1	107.6	67.1	1564.5
1932	38.7	61.2	108.0	156.5	63.8	187.4	115.5	86.8	363.1	153.9	267.7	87.4	1690.0
1933	58.4	18.7	133.9	135.4	60.3	34.1	44.2	43.2	42.7	301.9	84.1	54.4	1011.3
1934	18.4	28.3	68.3	150.0	83.9	133.5	111.1	23.4	200.6	196.1	141.5	91.6	1246.7
1935	58.6	110.7	115.9	142.2	84.2	131.3	99.1	196.6	369.3	214.4	74.7	59.8	1656.8
1936	32.1	129.0	41.4	198.9	169.1	120.4	246.3	92.5	232.0	252.8	60.1	53.0	1627.6
1937	78.1	144.9	145.7	126.5	124.5	131.4	48.6	10.8	181.6	192.2	95.4	79.3	1359.0
1938	32.0	65.5	92.0	96.4	127.5	649.0	255.1	191.9	265.2	351.5	21.0	82.5	2229.6
